image,class
train_1\v_Archery_g11_c07.avi_frame0.jpg,Archery
train_1\v_Archery_g11_c07.avi_frame1.jpg,Archery
train_1\v_Archery_g11_c07.avi_frame10.jpg,Archery
train_1\v_Archery_g11_c07.avi_frame2.jpg,Archery
train_1\v_Archery_g11_c07.avi_frame3.jpg,Archery
train_1\v_Archery_g11_c07.avi_frame4.jpg,Archery
train_1\v_Archery_g11_c07.avi_frame5.jpg,Archery
train_1\v_Archery_g11_c07.avi_frame6.jpg,Archery
train_1\v_Archery_g11_c07.avi_frame7.jpg,Archery
train_1\v_Archery_g11_c07.avi_frame8.jpg,Archery
train_1\v_Archery_g11_c07.avi_frame9.jpg,Archery
train_1\v_Archery_g12_c01.avi_frame0.jpg,Archery
train_1\v_Archery_g12_c01.avi_frame1.jpg,Archery
train_1\v_Archery_g12_c01.avi_frame10.jpg,Archery
train_1\v_Archery_g12_c01.avi_frame11.jpg,Archery
train_1\v_Archery_g12_c01.avi_frame12.jpg,Archery
train_1\v_Archery_g12_c01.avi_frame13.jpg,Archery
train_1\v_Archery_g12_c01.avi_frame14.jpg,Archery
train_1\v_Archery_g12_c01.avi_frame2.jpg,Archery
train_1\v_Archery_g12_c01.avi_frame3.jpg,Archery
train_1\v_Archery_g12_c01.avi_frame4.jpg,Archery
train_1\v_Archery_g12_c01.avi_frame5.jpg,Archery
train_1\v_Archery_g12_c01.avi_frame6.jpg,Archery
train_1\v_Archery_g12_c01.avi_frame7.jpg,Archery
train_1\v_Archery_g12_c01.avi_frame8.jpg,Archery
train_1\v_Archery_g12_c01.avi_frame9.jpg,Archery
train_1\v_Archery_g12_c02.avi_frame0.jpg,Archery
train_1\v_Archery_g12_c02.avi_frame1.jpg,Archery
train_1\v_Archery_g12_c02.avi_frame10.jpg,Archery
train_1\v_Archery_g12_c02.avi_frame11.jpg,Archery
train_1\v_Archery_g12_c02.avi_frame12.jpg,Archery
train_1\v_Archery_g12_c02.avi_frame13.jpg,Archery
train_1\v_Archery_g12_c02.avi_frame14.jpg,Archery
train_1\v_Archery_g12_c02.avi_frame15.jpg,Archery
train_1\v_Archery_g12_c02.avi_frame2.jpg,Archery
train_1\v_Archery_g12_c02.avi_frame3.jpg,Archery
train_1\v_Archery_g12_c02.avi_frame4.jpg,Archery
train_1\v_Archery_g12_c02.avi_frame5.jpg,Archery
train_1\v_Archery_g12_c02.avi_frame6.jpg,Archery
train_1\v_Archery_g12_c02.avi_frame7.jpg,Archery
train_1\v_Archery_g12_c02.avi_frame8.jpg,Archery
train_1\v_Archery_g12_c02.avi_frame9.jpg,Archery
train_1\v_Archery_g12_c03.avi_frame0.jpg,Archery
train_1\v_Archery_g12_c03.avi_frame1.jpg,Archery
train_1\v_Archery_g12_c03.avi_frame10.jpg,Archery
train_1\v_Archery_g12_c03.avi_frame11.jpg,Archery
train_1\v_Archery_g12_c03.avi_frame12.jpg,Archery
train_1\v_Archery_g12_c03.avi_frame13.jpg,Archery
train_1\v_Archery_g12_c03.avi_frame14.jpg,Archery
train_1\v_Archery_g12_c03.avi_frame15.jpg,Archery
train_1\v_Archery_g12_c03.avi_frame16.jpg,Archery
train_1\v_Archery_g12_c03.avi_frame17.jpg,Archery
train_1\v_Archery_g12_c03.avi_frame2.jpg,Archery
train_1\v_Archery_g12_c03.avi_frame3.jpg,Archery
train_1\v_Archery_g12_c03.avi_frame4.jpg,Archery
train_1\v_Archery_g12_c03.avi_frame5.jpg,Archery
train_1\v_Archery_g12_c03.avi_frame6.jpg,Archery
train_1\v_Archery_g12_c03.avi_frame7.jpg,Archery
train_1\v_Archery_g12_c03.avi_frame8.jpg,Archery
train_1\v_Archery_g12_c03.avi_frame9.jpg,Archery
train_1\v_Archery_g12_c04.avi_frame0.jpg,Archery
train_1\v_Archery_g12_c04.avi_frame1.jpg,Archery
train_1\v_Archery_g12_c04.avi_frame2.jpg,Archery
train_1\v_Archery_g12_c04.avi_frame3.jpg,Archery
train_1\v_Archery_g12_c04.avi_frame4.jpg,Archery
train_1\v_Archery_g12_c04.avi_frame5.jpg,Archery
train_1\v_Archery_g12_c04.avi_frame6.jpg,Archery
train_1\v_Archery_g12_c04.avi_frame7.jpg,Archery
train_1\v_Archery_g13_c01.avi_frame0.jpg,Archery
train_1\v_Archery_g13_c01.avi_frame1.jpg,Archery
train_1\v_Archery_g13_c01.avi_frame2.jpg,Archery
train_1\v_Archery_g13_c01.avi_frame3.jpg,Archery
train_1\v_Archery_g13_c01.avi_frame4.jpg,Archery
train_1\v_Archery_g13_c01.avi_frame5.jpg,Archery
train_1\v_Archery_g13_c02.avi_frame0.jpg,Archery
train_1\v_Archery_g13_c02.avi_frame1.jpg,Archery
train_1\v_Archery_g13_c02.avi_frame2.jpg,Archery
train_1\v_Archery_g13_c02.avi_frame3.jpg,Archery
train_1\v_Archery_g13_c02.avi_frame4.jpg,Archery
train_1\v_Archery_g13_c02.avi_frame5.jpg,Archery
train_1\v_Archery_g13_c03.avi_frame0.jpg,Archery
train_1\v_Archery_g13_c03.avi_frame1.jpg,Archery
train_1\v_Archery_g13_c03.avi_frame2.jpg,Archery
train_1\v_Archery_g13_c03.avi_frame3.jpg,Archery
train_1\v_Archery_g13_c03.avi_frame4.jpg,Archery
train_1\v_Archery_g13_c03.avi_frame5.jpg,Archery
train_1\v_Archery_g13_c03.avi_frame6.jpg,Archery
train_1\v_Archery_g13_c04.avi_frame0.jpg,Archery
train_1\v_Archery_g13_c04.avi_frame1.jpg,Archery
train_1\v_Archery_g13_c04.avi_frame2.jpg,Archery
train_1\v_Archery_g13_c04.avi_frame3.jpg,Archery
train_1\v_Archery_g13_c04.avi_frame4.jpg,Archery
train_1\v_Archery_g13_c04.avi_frame5.jpg,Archery
train_1\v_Archery_g13_c04.avi_frame6.jpg,Archery
train_1\v_Archery_g13_c05.avi_frame0.jpg,Archery
train_1\v_Archery_g13_c05.avi_frame1.jpg,Archery
train_1\v_Archery_g13_c05.avi_frame2.jpg,Archery
train_1\v_Archery_g13_c05.avi_frame3.jpg,Archery
train_1\v_Archery_g13_c05.avi_frame4.jpg,Archery
train_1\v_Archery_g13_c05.avi_frame5.jpg,Archery
train_1\v_Archery_g13_c05.avi_frame6.jpg,Archery
train_1\v_Archery_g13_c05.avi_frame7.jpg,Archery
train_1\v_Archery_g13_c06.avi_frame0.jpg,Archery
train_1\v_Archery_g13_c06.avi_frame1.jpg,Archery
train_1\v_Archery_g13_c06.avi_frame2.jpg,Archery
train_1\v_Archery_g13_c06.avi_frame3.jpg,Archery
train_1\v_Archery_g13_c06.avi_frame4.jpg,Archery
train_1\v_Archery_g13_c06.avi_frame5.jpg,Archery
train_1\v_Archery_g13_c06.avi_frame6.jpg,Archery
train_1\v_Archery_g13_c07.avi_frame0.jpg,Archery
train_1\v_Archery_g13_c07.avi_frame1.jpg,Archery
train_1\v_Archery_g13_c07.avi_frame2.jpg,Archery
train_1\v_Archery_g13_c07.avi_frame3.jpg,Archery
train_1\v_Archery_g13_c07.avi_frame4.jpg,Archery
train_1\v_Archery_g13_c07.avi_frame5.jpg,Archery
train_1\v_Archery_g13_c07.avi_frame6.jpg,Archery
train_1\v_Archery_g13_c07.avi_frame7.jpg,Archery
train_1\v_Archery_g14_c01.avi_frame0.jpg,Archery
train_1\v_Archery_g14_c01.avi_frame1.jpg,Archery
train_1\v_Archery_g14_c01.avi_frame2.jpg,Archery
train_1\v_Archery_g14_c01.avi_frame3.jpg,Archery
train_1\v_Archery_g14_c01.avi_frame4.jpg,Archery
train_1\v_Archery_g14_c01.avi_frame5.jpg,Archery
train_1\v_Archery_g14_c01.avi_frame6.jpg,Archery
train_1\v_Archery_g14_c01.avi_frame7.jpg,Archery
train_1\v_Archery_g14_c01.avi_frame8.jpg,Archery
train_1\v_Archery_g14_c02.avi_frame0.jpg,Archery
train_1\v_Archery_g14_c02.avi_frame1.jpg,Archery
train_1\v_Archery_g14_c02.avi_frame2.jpg,Archery
train_1\v_Archery_g14_c02.avi_frame3.jpg,Archery
train_1\v_Archery_g14_c02.avi_frame4.jpg,Archery
train_1\v_Archery_g14_c02.avi_frame5.jpg,Archery
train_1\v_Archery_g14_c02.avi_frame6.jpg,Archery
train_1\v_Archery_g14_c02.avi_frame7.jpg,Archery
train_1\v_Archery_g14_c02.avi_frame8.jpg,Archery
train_1\v_Archery_g14_c03.avi_frame0.jpg,Archery
train_1\v_Archery_g14_c03.avi_frame1.jpg,Archery
train_1\v_Archery_g14_c03.avi_frame2.jpg,Archery
train_1\v_Archery_g14_c03.avi_frame3.jpg,Archery
train_1\v_Archery_g14_c03.avi_frame4.jpg,Archery
train_1\v_Archery_g14_c03.avi_frame5.jpg,Archery
train_1\v_Archery_g14_c03.avi_frame6.jpg,Archery
train_1\v_Archery_g14_c04.avi_frame0.jpg,Archery
train_1\v_Archery_g14_c04.avi_frame1.jpg,Archery
train_1\v_Archery_g14_c04.avi_frame2.jpg,Archery
train_1\v_Archery_g14_c04.avi_frame3.jpg,Archery
train_1\v_Archery_g14_c04.avi_frame4.jpg,Archery
train_1\v_Archery_g14_c04.avi_frame5.jpg,Archery
train_1\v_Archery_g14_c04.avi_frame6.jpg,Archery
train_1\v_Archery_g14_c04.avi_frame7.jpg,Archery
train_1\v_Archery_g14_c04.avi_frame8.jpg,Archery
train_1\v_Archery_g14_c04.avi_frame9.jpg,Archery
train_1\v_Archery_g15_c01.avi_frame0.jpg,Archery
train_1\v_Archery_g15_c01.avi_frame1.jpg,Archery
train_1\v_Archery_g15_c01.avi_frame2.jpg,Archery
train_1\v_Archery_g15_c01.avi_frame3.jpg,Archery
train_1\v_Archery_g15_c01.avi_frame4.jpg,Archery
train_1\v_Archery_g15_c02.avi_frame0.jpg,Archery
train_1\v_Archery_g15_c02.avi_frame1.jpg,Archery
train_1\v_Archery_g15_c02.avi_frame2.jpg,Archery
train_1\v_Archery_g15_c02.avi_frame3.jpg,Archery
train_1\v_Archery_g15_c02.avi_frame4.jpg,Archery
train_1\v_Archery_g15_c02.avi_frame5.jpg,Archery
train_1\v_Archery_g15_c02.avi_frame6.jpg,Archery
train_1\v_Archery_g15_c02.avi_frame7.jpg,Archery
train_1\v_Archery_g15_c03.avi_frame0.jpg,Archery
train_1\v_Archery_g15_c03.avi_frame1.jpg,Archery
train_1\v_Archery_g15_c03.avi_frame2.jpg,Archery
train_1\v_Archery_g15_c03.avi_frame3.jpg,Archery
train_1\v_Archery_g15_c03.avi_frame4.jpg,Archery
train_1\v_Archery_g15_c03.avi_frame5.jpg,Archery
train_1\v_Archery_g15_c03.avi_frame6.jpg,Archery
train_1\v_Archery_g15_c03.avi_frame7.jpg,Archery
train_1\v_Archery_g15_c04.avi_frame0.jpg,Archery
train_1\v_Archery_g15_c04.avi_frame1.jpg,Archery
train_1\v_Archery_g15_c04.avi_frame2.jpg,Archery
train_1\v_Archery_g15_c04.avi_frame3.jpg,Archery
train_1\v_Archery_g15_c04.avi_frame4.jpg,Archery
train_1\v_Archery_g15_c04.avi_frame5.jpg,Archery
train_1\v_Archery_g15_c04.avi_frame6.jpg,Archery
train_1\v_Archery_g15_c04.avi_frame7.jpg,Archery
train_1\v_Archery_g15_c04.avi_frame8.jpg,Archery
train_1\v_Archery_g15_c05.avi_frame0.jpg,Archery
train_1\v_Archery_g15_c05.avi_frame1.jpg,Archery
train_1\v_Archery_g15_c05.avi_frame2.jpg,Archery
train_1\v_Archery_g15_c05.avi_frame3.jpg,Archery
train_1\v_Archery_g15_c05.avi_frame4.jpg,Archery
train_1\v_Archery_g15_c05.avi_frame5.jpg,Archery
train_1\v_Archery_g15_c05.avi_frame6.jpg,Archery
train_1\v_Archery_g15_c06.avi_frame0.jpg,Archery
train_1\v_Archery_g15_c06.avi_frame1.jpg,Archery
train_1\v_Archery_g15_c06.avi_frame2.jpg,Archery
train_1\v_Archery_g15_c06.avi_frame3.jpg,Archery
train_1\v_Archery_g15_c06.avi_frame4.jpg,Archery
train_1\v_Archery_g15_c06.avi_frame5.jpg,Archery
train_1\v_Archery_g15_c06.avi_frame6.jpg,Archery
train_1\v_Archery_g15_c07.avi_frame0.jpg,Archery
train_1\v_Archery_g15_c07.avi_frame1.jpg,Archery
train_1\v_Archery_g15_c07.avi_frame2.jpg,Archery
train_1\v_Archery_g15_c07.avi_frame3.jpg,Archery
train_1\v_Archery_g15_c07.avi_frame4.jpg,Archery
train_1\v_Archery_g15_c07.avi_frame5.jpg,Archery
train_1\v_Archery_g15_c07.avi_frame6.jpg,Archery
train_1\v_Archery_g16_c01.avi_frame0.jpg,Archery
train_1\v_Archery_g16_c01.avi_frame1.jpg,Archery
train_1\v_Archery_g16_c01.avi_frame2.jpg,Archery
train_1\v_Archery_g16_c01.avi_frame3.jpg,Archery
train_1\v_Archery_g16_c01.avi_frame4.jpg,Archery
train_1\v_Archery_g16_c01.avi_frame5.jpg,Archery
train_1\v_Archery_g16_c01.avi_frame6.jpg,Archery
train_1\v_Archery_g16_c02.avi_frame0.jpg,Archery
train_1\v_Archery_g16_c02.avi_frame1.jpg,Archery
train_1\v_Archery_g16_c02.avi_frame2.jpg,Archery
train_1\v_Archery_g16_c02.avi_frame3.jpg,Archery
train_1\v_Archery_g16_c02.avi_frame4.jpg,Archery
train_1\v_Archery_g16_c02.avi_frame5.jpg,Archery
train_1\v_Archery_g16_c02.avi_frame6.jpg,Archery
train_1\v_Archery_g16_c02.avi_frame7.jpg,Archery
train_1\v_Archery_g16_c02.avi_frame8.jpg,Archery
train_1\v_Archery_g16_c03.avi_frame0.jpg,Archery
train_1\v_Archery_g16_c03.avi_frame1.jpg,Archery
train_1\v_Archery_g16_c03.avi_frame2.jpg,Archery
train_1\v_Archery_g16_c03.avi_frame3.jpg,Archery
train_1\v_Archery_g16_c03.avi_frame4.jpg,Archery
train_1\v_Archery_g16_c03.avi_frame5.jpg,Archery
train_1\v_Archery_g16_c03.avi_frame6.jpg,Archery
train_1\v_Archery_g16_c03.avi_frame7.jpg,Archery
train_1\v_Archery_g16_c03.avi_frame8.jpg,Archery
train_1\v_Archery_g16_c04.avi_frame0.jpg,Archery
train_1\v_Archery_g16_c04.avi_frame1.jpg,Archery
train_1\v_Archery_g16_c04.avi_frame2.jpg,Archery
train_1\v_Archery_g16_c04.avi_frame3.jpg,Archery
train_1\v_Archery_g16_c04.avi_frame4.jpg,Archery
train_1\v_Archery_g16_c05.avi_frame0.jpg,Archery
train_1\v_Archery_g16_c05.avi_frame1.jpg,Archery
train_1\v_Archery_g16_c05.avi_frame10.jpg,Archery
train_1\v_Archery_g16_c05.avi_frame2.jpg,Archery
train_1\v_Archery_g16_c05.avi_frame3.jpg,Archery
train_1\v_Archery_g16_c05.avi_frame4.jpg,Archery
train_1\v_Archery_g16_c05.avi_frame5.jpg,Archery
train_1\v_Archery_g16_c05.avi_frame6.jpg,Archery
train_1\v_Archery_g16_c05.avi_frame7.jpg,Archery
train_1\v_Archery_g16_c05.avi_frame8.jpg,Archery
train_1\v_Archery_g16_c05.avi_frame9.jpg,Archery
train_1\v_Archery_g17_c01.avi_frame0.jpg,Archery
